NAME	DESCRIPTION	minus_1	plus_1	minus_2	plus_2	plus_3	minus_3
TTLL10	1	6.03658783410899	6.01294881520466	5.95111819107104	6.0503503227102	6.10675270695008	6.28988069417167
MIR200B	1	6.03658783410899	6.01294881520466	5.95111819107104	6.0503503227102	6.10675270695008	6.28988069417167
MIR200A	1	6.03658783410899	6.01294881520466	5.95111819107104	6.0503503227102	6.10675270695008	6.28988069417167
MIR429	1	6.03658783410899	6.01294881520466	5.95111819107104	6.0503503227102	6.10675270695008	6.28988069417167
B3GALT6	1	7.28251799195457	7.24047983377928	7.32800958511447	7.44524026096243	7.63075400995269	7.40743115234834
SCNN1D	1	6.09506696399671	6.04689227623393	6.04144740071345	6.28202582830566	6.30229748205553	6.34799886721591
LINC01786	1	6.09506696399671	6.04689227623393	6.04144740071345	6.28202582830566	6.30229748205553	6.34799886721591
PUSL1	1	7.20703501186771	7.40621408570986	7.4157363237586	7.51528894218441	7.53593081358196	7.45757337883183
VWA1	1	8.97598079366828	9.06407685593074	8.87948418827011	9.18571624043835	9.57493248186484	9.36577695017204
ATAD3C	1	5.4866363763076	4.83927153860117	5.07907750223512	5.31517967950122	5.76621636423148	5.5219477276285
ATAD3B	1	5.4866363763076	4.83927153860117	5.07907750223512	5.31517967950122	5.76621636423148	5.5219477276285
ATAD3A	1	5.4866363763076	4.83927153860117	5.07907750223512	5.31517967950122	5.76621636423148	5.5219477276285
ATAD3A	1	7.82431452542895	7.98156228598139	8.02687159477776	8.17633297119315	8.35637319285238	7.74460687336539
ATAD3B	1	7.82431452542895	7.98156228598139	8.02687159477776	8.17633297119315	8.35637319285238	7.74460687336539
ATAD3C	1	7.82431452542895	7.98156228598139	8.02687159477776	8.17633297119315	8.35637319285238	7.74460687336539
CALML6	1	3.95899671754451	4.25330208900431	4.26272376867677	4.65467268733213	4.43370303992133	5.01982933686453
PRKCZ	1	6.22421174551654	6.28911106825808	6.13607229916937	5.98076713406946	6.18543481844748	6.31561037308642
SKI	1	8.67401639111769	8.7999510021898	8.77756963931486	8.7621049225997	8.62348967679695	8.61834575478192
RER1	1	7.87570669363927	7.97812690686211	8.12253662417175	8.11769432895154	8.00916886707208	7.44884581612136
PLCH2	1	5.86874597924482	5.9228926840197	5.88885411447688	5.97896965987999	6.06956144868654	6.05173487631668
PRXL2B	1	6.71062919332811	6.81422148522411	6.85197772613299	6.98311401415091	6.78166210841044	6.89781692581407
ACTRT2	1	5.101772606471	5.35614290733551	4.89004272643189	4.98900076663642	5.18736293707685	5.56468621943221
PRDM16	1	5.81517067489199	5.8606700203593	5.80197691955025	5.86600581127056	5.83191205090569	5.91775613333278
ARHGEF16	1	5.90146751396923	5.92251920396402	5.8875291538771	5.9247010298243	5.84070092620675	6.31427160557799
TP73	1	6.24567407639635	6.28338874565341	6.29623342937436	6.18554276211821	6.29644589472103	6.43222802611928
TPRG1L	1	8.16964710826307	7.88547455143043	8.13018814054161	7.74528585526426	8.13698428194406	8.354261872746
CCDC27	1	5.49725265037369	5.59367491895281	5.56352565652108	5.60564744995669	5.49622880800831	5.74309166093946
DFFB	1	5.56828118596659	5.6639028026508	5.71854215446814	5.42753407554088	5.71820459552549	5.74341073570976
AJAP1	1	4.12984064664419	4.34096081082196	4.12866178758389	4.36475518489043	4.50884944334792	4.12786321091345
LOC102724429	1	4.12984064664419	4.34096081082196	4.12866178758389	4.36475518489043	4.50884944334792	4.12786321091345
LINC02781	1	4.12984064664419	4.34096081082196	4.12866178758389	4.36475518489043	4.50884944334792	4.12786321091345
LOC105376682	1	4.12984064664419	4.34096081082196	4.12866178758389	4.36475518489043	4.50884944334792	4.12786321091345
KCNAB2	1	6.96119640983696	7.04430134245639	6.97037198846259	6.83739395779208	6.48501016773645	6.63851612003943
RNF207	1	5.91750397095928	5.95257508838287	5.97812085660152	5.88109161293011	5.96962366874774	5.91974490615416
RNF207	1	5.664296375821	6.07755597584524	5.80352049288547	6.0522815673334	5.75992007884589	6.24144006680266
LINC00337	1	4.64027425058853	4.97098097232498	5.04738432860417	5.15758098086978	5.53243526256274	5.00063318679863
ESPN	1	6.40855327443782	6.43973470578607	6.36189478436743	6.56706303467876	6.52782223420167	6.61729381187867
ESPNP	1	6.40855327443782	6.43973470578607	6.36189478436743	6.56706303467876	6.52782223420167	6.61729381187867
TAS1R1	1	4.8521134155635	5.25429089581878	4.97922798038707	5.36422733990933	5.31058529438897	5.05208267167992
ZBTB48	1	6.0162817402536	6.27600513870973	6.27559499397731	6.29496237532862	5.64400876265708	6.01551852227552
PHF13	1	5.99332290934594	6.03405196804078	6.09784264830519	6.08233749485424	6.30395563011989	6.32069330957008
THAP3	1	5.46126983235945	5.43078289431257	5.26602728756711	5.53702245675366	5.47354202803725	5.81892295209655
CAMTA1	1	5.29442277086094	5.34197044832196	5.21509960664885	5.34721275100355	5.35690693238316	5.14499930890471
VAMP3	1	8.79942814667662	8.88246077030105	8.87194540588475	9.05001040461267	8.68195666013245	8.81275569193319
PER3	1	5.49499014380575	5.60301758447951	5.58724323783197	5.64508620867907	5.71365242634276	5.63917988318611
PARK7	1	9.30833219644684	9.26828041219369	9.41199994361715	9.16413873284217	9.61962255785089	9.05394993722668
CA6	1	4.83432598120846	4.66618785449215	4.61023291300948	4.65436867267532	4.80326001718963	4.96426246217481
H6PD	1	5.10130237717716	5.07339196124609	4.99026811754927	5.09365279914483	5.26117592636824	5.24640787165377
SPSB1	1	6.25012870484228	6.35499022610979	6.21853667388143	6.3544633561079	6.19888658306413	5.68288881313462
